C0002395	THERAPY	DB14490
C0002395	THERAPY	DB02483
C0002395	THERAPY	DB07394
C0002395	THERAPY	DB06995
C0002395	THERAPY	DB07055
C0002395	THERAPY	DB12645
C0002395	THERAPY	DB04223
C0002395	THERAPY	DB08766
C0002395	THERAPY	DB06534
C0002395	THERAPY	DB05667
C0002395	THERAPY	DB00632
C0002395	THERAPY	DB15566
C0002395	THERAPY	DB04328
C0002395	THERAPY	DB07211
C0002395	THERAPY	DB08067
C0002395	THERAPY	DB04299
C0002395	THERAPY	DB11656
C0002395	THERAPY	DB07871
C0002395	THERAPY	DB00127
C0002395	THERAPY	DB08907
C0002395	THERAPY	DB08873
C0002395	THERAPY	DB00639
C0002395	THERAPY	DB02429
C0002395	THERAPY	DB08587
C0002395	THERAPY	DB03038
C0002395	THERAPY	DB07933
C0002395	THERAPY	DB00274
C0002395	THERAPY	DB07786
C0002395	THERAPY	DB01678
C0002395	THERAPY	DB09291
C0002395	THERAPY	DB00310
C0002395	THERAPY	DB00591
C0002395	THERAPY	DB02027
C0002395	THERAPY	DB07053
C0002395	THERAPY	DB07288
C0002395	THERAPY	DB08453
C0002395	THERAPY	DB00651
C0002395	THERAPY	DB09031
C0002395	THERAPY	DB02918
C0002395	THERAPY	DB11855
C0002395	THERAPY	DB00197
C0002395	THERAPY	DB07816
C0002395	THERAPY	DB00800
C0002395	THERAPY	DB14541
C0002395	THERAPY	DB05235
C0002395	THERAPY	DB11672
C0002395	THERAPY	DB05967
C0002395	THERAPY	DB00818
C0002395	THERAPY	DB08740
C0002395	THERAPY	DB03704
C0002395	THERAPY	DB02861
C0002395	THERAPY	DB00125
C0002395	THERAPY	DB01971
C0002395	THERAPY	DB08416
C0002395	THERAPY	DB03949
C0002395	THERAPY	DB08141
C0002395	THERAPY	DB05446
C0002395	THERAPY	DB11771
C0002395	THERAPY	DB02292
C0002395	THERAPY	DB13803
C0002395	THERAPY	DB07835
C0002395	THERAPY	DB01483
C0002395	THERAPY	DB01219
C0002395	THERAPY	DB07265
C0002395	THERAPY	DB03052
C0002395	THERAPY	DB00401
C0002395	THERAPY	DB08733
C0002395	THERAPY	DB07765
